Entity,Code,Year,Annual COâ‚‚ emissions (per capita)
Qatar,QAT,2020,37.13288
Bahrain,BHR,2020,25.310665
Brunei,BRN,2020,25.1325
United Arab Emirates,ARE,2020,23.34033
Trinidad and Tobago,TTO,2020,23.074036
Kuwait,KWT,2020,22.408785
New Caledonia,NCL,2020,17.838543
Saudi Arabia,SAU,2020,16.967278
Australia,AUS,2020,15.453229
Sint Maarten (Dutch part),SXM,2020,14.945506
Faroe Islands,FRO,2020,14.463158
Oman,OMN,2020,14.400839
United States,USA,2020,14.034053
Canada,CAN,2020,13.799503
Kazakhstan,KAZ,2020,13.461358
Luxembourg,LUX,2020,12.797711
Palau,PLW,2020,11.806878
South Korea,KOR,2020,11.527397
Taiwan,TWN,2020,11.409406
Mongolia,MNG,2020,11.254686
Russia,RUS,2020,11.21384
Turkmenistan,TKM,2020,10.830831
Saint Pierre and Miquelon,SPM,2020,10.503879
Oceania,,2020,10.24328
North America,,2020,9.889759
High-income countries,,2020,9.701161
Greenland,GRL,2020,9.58365
Curacao,CUW,2020,9.542373
Singapore,SGP,2020,9.274892
Anguilla,AIA,2020,9.152959
Iceland,ISL,2020,9.107512
Europe (excl. EU-28),,2020,8.830373
Czechia,CZE,2020,8.707416
Aruba,ABW,2020,8.352506
Japan,JPN,2020,8.302111
Malaysia,MYS,2020,8.109902
Turks and Caicos Islands,TCA,2020,8.106011
Europe (excl. EU-27),,2020,7.949374
Belgium,BEL,2020,7.879573
Poland,POL,2020,7.870152
Netherlands,NLD,2020,7.8398657
Iran,IRN,2020,7.7787347
Germany,DEU,2020,7.767432
Norway,NOR,2020,7.663988
China,CHN,2020,7.659333
South Africa,ZAF,2020,7.3948026
Bermuda,BMU,2020,7.150552
Ireland,IRL,2020,7.1012745
Libya,LBY,2020,7.073712
Austria,AUT,2020,6.9738197
Estonia,EST,2020,6.949406
Finland,FIN,2020,6.8243456
New Zealand,NZL,2020,6.764759
Europe,,2020,6.731591
Antigua and Barbuda,ATG,2020,6.6818023
Israel,ISR,2020,6.3599873
Bosnia and Herzegovina,BIH,2020,6.2776484
Serbia,SRB,2020,6.1388555
Belarus,BLR,2020,6.1300716
Slovenia,SVN,2020,6.07037
Upper-middle-income countries,,2020,5.9470816
European Union (27),,2020,5.906191
European Union (28),,2020,5.76995
Seychelles,SYC,2020,5.762698
Slovakia,SVK,2020,5.698817
Cyprus,CYP,2020,5.5843916
Bahamas,BHS,2020,5.3723545
Greece,GRC,2020,5.2909575
Bulgaria,BGR,2020,5.234656
British Virgin Islands,VGB,2020,5.2116117
Italy,ITA,2020,5.097115
Kosovo,OWID_KOS,2020,5.0585814
Turkey,TUR,2020,4.907883
United Kingdom,GBR,2020,4.8652816
Denmark,DNK,2020,4.8577814
Montserrat,MSR,2020,4.8572693
Hungary,HUN,2020,4.8546357
Saint Kitts and Nevis,KNA,2020,4.842697
Andorra,AND,2020,4.8084607
Suriname,SUR,2020,4.806618
Lithuania,LTU,2020,4.8004904
Ukraine,UKR,2020,4.7102127
Spain,ESP,2020,4.510309
Hong Kong,HKG,2020,4.4657145
World,OWID_WRL,2020,4.4647303
North America (excl. USA),,2020,4.4100537
Asia,,2020,4.4004188
Barbados,BRB,2020,4.394483
France,FRA,2020,4.366297
Bonaire Sint Eustatius and Saba,BES,2020,4.3389106
Nauru,NRU,2020,4.157225
Chile,CHL,2020,4.15424
Croatia,HRV,2020,4.1179047
Portugal,PRT,2020,4.048791
Guyana,GUY,2020,3.999438
Switzerland,CHE,2020,3.9630482
Lebanon,LBN,2020,3.9343011
Algeria,DZA,2020,3.9099252
Asia (excl. China and India),,2020,3.900581
Cook Islands,COK,2020,3.8681524
Montenegro,MNE,2020,3.8267505
Romania,ROU,2020,3.8075497
Thailand,THA,2020,3.8034203
Vietnam,VNM,2020,3.7594166
Iraq,IRQ,2020,3.7559109
Niue,NIU,2020,3.7330616
Argentina,ARG,2020,3.7054682
Latvia,LVA,2020,3.6898801
Liechtenstein,LIE,2020,3.6595674
Sweden,SWE,2020,3.5381036
Azerbaijan,AZE,2020,3.5147688
Mexico,MEX,2020,3.5102782
Equatorial Guinea,GNQ,2020,3.4615319
Marshall Islands,MHL,2020,3.374082
Saint Helena,SHN,2020,3.362702
North Macedonia,MKD,2020,3.2941804
Uzbekistan,UZB,2020,3.2699935
Maldives,MDV,2020,3.20497
Malta,MLT,2020,3.0991688
Mauritius,MUS,2020,2.9332778
Georgia,GEO,2020,2.807964
French Polynesia,PYF,2020,2.8031993
Saint Lucia,LCA,2020,2.698251
Laos,LAO,2020,2.6880474
Gabon,GAB,2020,2.5860782
Armenia,ARM,2020,2.4233668
Panama,PAN,2020,2.4041464
Saint Vincent and the Grenadines,VCT,2020,2.3459349
Tunisia,TUN,2020,2.342881
Grenada,GRD,2020,2.3405137
Jamaica,JAM,2020,2.2913485
South America,,2020,2.2294097
Indonesia,IDN,2020,2.2290483
Wallis and Futuna,WLF,2020,2.1960785
Dominica,DMA,2020,2.187888
Botswana,BWA,2020,2.1799212
Venezuela,VEN,2020,2.174631
Dominican Republic,DOM,2020,2.136578
Egypt,EGY,2020,2.1182494
Brazil,BRA,2020,2.0849533
Jordan,JOR,2020,1.9333241
North Korea,PRK,2020,1.9257522
Uruguay,URY,2020,1.8888899
Cuba,CUB,2020,1.8828136
Ecuador,ECU,2020,1.8710657
Colombia,COL,2020,1.7618332
Morocco,MAR,2020,1.759688
Albania,ALB,2020,1.7506745
Tonga,TON,2020,1.7403696
India,IND,2020,1.7341554
Moldova,MDA,2020,1.6990237
Lower-middle-income countries,,2020,1.6759695
Belize,BLZ,2020,1.5530106
Bolivia,BOL,2020,1.5353591
Macao,MAC,2020,1.5278246
Namibia,NAM,2020,1.4791858
Peru,PER,2020,1.4101644
Costa Rica,CRI,2020,1.3201325
Micronesia (country),FSM,2020,1.3071826
Kyrgyzstan,KGZ,2020,1.2994561
Congo,COG,2020,1.2962588
Syria,SYR,2020,1.2667042
Bhutan,BTN,2020,1.190612
Philippines,PHL,2020,1.1841508
Cambodia,KHM,2020,1.1608452
Fiji,FJI,2020,1.1309409
Samoa,WSM,2020,1.1251081
Paraguay,PRY,2020,1.1129478
El Salvador,SLV,2020,1.0479546
Guatemala,GTM,2020,0.99851304
Africa,,2020,0.9982174
Tuvalu,TUV,2020,0.9911632
Tajikistan,TJK,2020,0.9744041
Lesotho,LSO,2020,0.9639094
Sri Lanka,LKA,2020,0.9497855
Honduras,HND,2020,0.94115144
Eswatini,SWZ,2020,0.9247956
Mauritania,MRT,2020,0.91546965
Cape Verde,CPV,2020,0.88668585
Pakistan,PAK,2020,0.88294756
Papua New Guinea,PNG,2020,0.7922191
Nicaragua,NIC,2020,0.7028534
Palestine,PSE,2020,0.6628098
Senegal,SEN,2020,0.6583641
Myanmar,MMR,2020,0.64784175
Vanuatu,VUT,2020,0.6465315
Sao Tome and Principe,STP,2020,0.63678026
Benin,BEN,2020,0.6125594
Ghana,GHA,2020,0.59564954
Nigeria,NGA,2020,0.59436333
Bangladesh,BGD,2020,0.5591592
Kiribati,KIR,2020,0.52147096
Nepal,NPL,2020,0.50777215
Angola,AGO,2020,0.50151193
Zimbabwe,ZWE,2020,0.500945
East Timor,TLS,2020,0.49730384
Comoros,COM,2020,0.47267568
Sudan,SDN,2020,0.46190912
Zambia,ZMB,2020,0.4302868
Kenya,KEN,2020,0.42285332
Solomon Islands,SLB,2020,0.41877437
Cote d'Ivoire,CIV,2020,0.41096124
Cameroon,CMR,2020,0.36622167
Djibouti,DJI,2020,0.35082307
Guinea,GIN,2020,0.34072992
Yemen,YEM,2020,0.33713207
Afghanistan,AFG,2020,0.30503938
Mali,MLI,2020,0.30241865
Togo,TGO,2020,0.28204852
Low-income countries,,2020,0.27861932
Gambia,GMB,2020,0.27188137
Burkina Faso,BFA,2020,0.24133267
Tanzania,TZA,2020,0.22962135
Haiti,HTI,2020,0.22221673
Mozambique,MOZ,2020,0.20450525
Eritrea,ERI,2020,0.18024033
South Sudan,SSD,2020,0.15960138
Ethiopia,ETH,2020,0.15197527
Liberia,LBR,2020,0.15123484
Guinea-Bissau,GNB,2020,0.14722605
Madagascar,MDG,2020,0.14044012
Chad,TCD,2020,0.13693357
Uganda,UGA,2020,0.124725975
Sierra Leone,SLE,2020,0.12459599
Niger,NER,2020,0.11575344
Rwanda,RWA,2020,0.10434921
Malawi,MWI,2020,0.096544944
Burundi,BDI,2020,0.060208857
Central African Republic,CAF,2020,0.044574007
Democratic Republic of Congo,COD,2020,0.03995253
Somalia,SOM,2020,0.036114853
