Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Afghanistan,AFG,2021,40000411
Africa (UN),,2021,1413753053
Albania,ALB,2021,2849643
Algeria,DZA,2021,44761101
American Samoa,ASM,2021,49248
Americas (UN),,2021,1029207261
Andorra,AND,2021,78375
Angola,AGO,2021,34532427
Anguilla,AIA,2021,14503
Antigua and Barbuda,ATG,2021,92358
Argentina,ARG,2021,45312283
Armenia,ARM,2021,2870339
Aruba,ABW,2021,107565
Asia (UN),,2021,4718316356
Australia,AUS,2021,25956416
Austria,AUT,2021,8967053
Azerbaijan,AZE,2021,10234373
Bahamas,BHS,2021,396381
Bahrain,BHR,2021,1501762
Bangladesh,BGD,2021,167658855
Barbados,BRB,2021,282156
Belarus,BLR,2021,9251367
Belgium,BEL,2021,11570842
Belize,BLZ,2021,395356
Benin,BEN,2021,13413423
Bermuda,BMU,2021,64672
Bhutan,BTN,2021,775451
Bolivia,BOL,2021,11937369
Bonaire Sint Eustatius and Saba,BES,2021,27346
Bosnia and Herzegovina,BIH,2021,3244909
Botswana,BWA,2021,2401449
Brazil,BRA,2021,209550291
British Virgin Islands,VGB,2021,37833
Brunei,BRN,2021,451723
Bulgaria,BGR,2021,6877222
Burkina Faso,BFA,2021,21995249
Burundi,BDI,2021,12965487
Cambodia,KHM,2021,16974308
Cameroon,CMR,2021,26915764
Canada,CAN,2021,38454058
Cape Verde,CPV,2021,516655
Cayman Islands,CYM,2021,70126
Central African Republic,CAF,2021,5112102
Chad,TCD,2021,17828274
Chile,CHL,2021,19456323
China,CHN,2021,1426437276
Colombia,COL,2021,51188174
Comoros,COM,2021,818178
Congo,COG,2021,5892186
Cook Islands,COK,2021,15204
Costa Rica,CRI,2021,5059992
Cote d'Ivoire,CIV,2021,29639735
Croatia,HRV,2021,3924607
Cuba,CUB,2021,11122169
Curacao,CUW,2021,185324
Cyprus,CYP,2021,1317312
Czechia,CZE,2021,10530683
Democratic Republic of Congo,COD,2021,99148931
Denmark,DNK,2021,5856773
Djibouti,DJI,2021,1121251
Dominica,DMA,2021,67223
Dominican Republic,DOM,2021,11123480
East Timor,TLS,2021,1350142
Ecuador,ECU,2021,17682454
Egypt,EGY,2021,110957004
El Salvador,SLV,2021,6255781
Equatorial Guinea,GNQ,2021,1758796
Eritrea,ERI,2021,3350184
Estonia,EST,2021,1331750
Eswatini,SWZ,2021,1206599
Ethiopia,ETH,2021,122138590
Europe (UN),,2021,748613503
Falkland Islands,FLK,2021,3524
Faroe Islands,FRO,2021,53324
Fiji,FJI,2021,916717
Finland,FIN,2021,5541068
France,FRA,2021,66083547
French Guiana,GUF,2021,293023
French Polynesia,PYF,2021,279807
Gabon,GAB,2021,2376728
Gambia,GMB,2021,2576014
Georgia,GEO,2021,3788450
Germany,DEU,2021,83697082
Ghana,GHA,2021,32518662
Gibraltar,GIB,2021,36880
Greece,GRC,2021,10579561
Greenland,GRL,2021,56065
Grenada,GRD,2021,116695
Guadeloupe,GLP,2021,399156
Guam,GUM,2021,163741
Guatemala,GTM,2021,17598654
Guernsey,GGY,2021,63436
Guinea,GIN,2021,13710516
Guinea-Bissau,GNB,2021,2058842
Guyana,GUY,2021,815484
Haiti,HTI,2021,11374592
High-income countries,,2021,1248780604
Honduras,HND,2021,10289882
Hong Kong,HKG,2021,7484604
Hungary,HUN,2021,9707848
Iceland,ISL,2021,372649
India,IND,2021,1414203889
Indonesia,IDN,2021,276758056
Iran,IRN,2021,88455491
Iraq,IRQ,2021,43071210
Ireland,IRL,2021,5028430
Isle of Man,IMN,2021,84121
Israel,ISR,2021,8942925
Italy,ITA,2021,59729354
Jamaica,JAM,2021,2837682
Japan,JPN,2021,125679341
Jersey,JEY,2021,103337
Jordan,JOR,2021,11066358
Kazakhstan,KAZ,2021,19743607
Kenya,KEN,2021,53219165
Kiribati,KIR,2021,128386
Kosovo,OWID_KOS,2021,1741449
Kuwait,KWT,2021,4360749
Kyrgyzstan,KGZ,2021,6820483
Land-locked developing countries (LLDC),,2021,553891679
Laos,LAO,2021,7453191
Latin America and the Caribbean (UN),,2021,650465295
Latvia,LVA,2021,1885592
Least developed countries,,2021,1109397235
Lebanon,LBN,2021,5718127
Lesotho,LSO,2021,2261549
Less developed regions,,2021,6670349457
"Less developed regions, excluding China",,2021,5212174883
"Less developed regions, excluding least developed countries",,2021,5560952242
Liberia,LBR,2021,5259326
Libya,LBY,2021,7135180
Liechtenstein,LIE,2021,39062
Lithuania,LTU,2021,2794489
Low-income countries,,2021,698215211
Lower-middle-income countries,,2021,3180608692
Luxembourg,LUX,2021,640276
Macao,MAC,2021,694404
Madagascar,MDG,2021,29691087
Malawi,MWI,2021,20047263
Malaysia,MYS,2021,34282405
Maldives,MDV,2021,516162
Mali,MLI,2021,22388638
Malta,MLT,2021,524383
Marshall Islands,MHL,2021,41386
Martinique,MTQ,2021,353285
Mauritania,MRT,2021,4734875
Mauritius,MUS,2021,1279627
Mayotte,MYT,2021,294431
Mexico,MEX,2021,127648152
Micronesia (country),FSM,2021,111636
Moldova,MDA,2021,3023780
Monaco,MCO,2021,38548
Mongolia,MNG,2021,3339678
Montenegro,MNE,2021,603854
Montserrat,MSR,2021,4505
More developed regions,,2021,1284098923
Morocco,MAR,2021,36954442
Mozambique,MOZ,2021,31707797
Myanmar,MMR,2021,53387102
Namibia,NAM,2021,2810553
Nauru,NRU,2021,11726
Nepal,NPL,2021,29475018
Netherlands,NLD,2021,17730564
New Caledonia,NCL,2021,285226
New Zealand,NZL,2021,5107696
Nicaragua,NIC,2021,6644745
Niger,NER,2021,24502144
Nigeria,NGA,2021,218529285
Niue,NIU,2021,1836
North Korea,PRK,2021,26232531
North Macedonia,MKD,2021,1851109
Northern America (UN),,2021,378741971
Northern Mariana Islands,MNP,2021,47003
Norway,NOR,2021,5408081
Oceania (UN),,2021,44558212
Oman,OMN,2021,4500427
Pakistan,PAK,2021,239477805
Palau,PLW,2021,17809
Palestine,PSE,2021,5185341
Panama,PAN,2021,4345410
Papua New Guinea,PNG,2021,10012899
Paraguay,PRY,2021,6684184
Peru,PER,2021,33155883
Philippines,PHL,2021,113100946
Poland,POL,2021,38040304
Portugal,PRT,2021,10390956
Puerto Rico,PRI,2021,3253210
Qatar,QAT,2021,2814989
Reunion,REU,2021,868084
Romania,ROU,2021,19248159
Russia,RUS,2021,145836172
Rwanda,RWA,2021,13355260
Saint Barthelemy,BLM,2021,10790
Saint Helena,SHN,2021,5415
Saint Kitts and Nevis,KNA,2021,46786
Saint Lucia,LCA,2021,178540
Saint Martin (French part),MAF,2021,29986
Saint Pierre and Miquelon,SPM,2021,5802
Saint Vincent and the Grenadines,VCT,2021,102848
Samoa,WSM,2021,213792
San Marino,SMR,2021,34599
Sao Tome and Principe,STP,2021,221975
Saudi Arabia,SAU,2021,31328374
Senegal,SEN,2021,17220866
Serbia,SRB,2021,6835434
Seychelles,SYC,2021,123000
Sierra Leone,SLE,2021,8094603
Singapore,SGP,2021,5546292
Sint Maarten (Dutch part),SXM,2021,41590
Slovakia,SVK,2021,5442767
Slovenia,SVN,2021,2113495
Small island developing states (SIDS),,2021,71632449
Solomon Islands,SLB,2021,762594
Somalia,SOM,2021,17271435
South Africa,ZAF,2021,61502601
South Korea,KOR,2021,51848401
South Sudan,SSD,2021,10865786
Spain,ESP,2021,47735670
Sri Lanka,LKA,2021,22700377
Sudan,SDN,2021,48066927
Suriname,SUR,2021,617905
Sweden,SWE,2021,10416136
Switzerland,CHE,2021,8707018
Syria,SYR,2021,21628840
Taiwan,TWN,2021,23558330
Tajikistan,TJK,2021,9966912
Tanzania,TZA,2021,62830413
Thailand,THA,2021,71727340
Togo,TGO,2021,8878384
Tokelau,TKL,2021,2225
Tonga,TON,2021,105504
Trinidad and Tobago,TTO,2021,1487715
Tunisia,TUN,2021,12048625
Turkey,TUR,2021,86686255
Turkmenistan,TKM,2021,7092041
Turks and Caicos Islands,TCA,2021,45260
Tuvalu,TUV,2021,10214
Uganda,UGA,2021,45910932
Ukraine,UKR,2021,44298641
United Arab Emirates,ARE,2021,9789054
United Kingdom,GBR,2021,67668789
United States,USA,2021,340161441
United States Virgin Islands,VIR,2021,87238
Upper-middle-income countries,,2021,2797561845
Uruguay,URY,2021,3396692
Uzbekistan,UZB,2021,34243696
Vanuatu,VUT,2021,305883
Vatican,VAT,2021,527
Venezuela,VEN,2021,28237831
Vietnam,VNM,2021,98935101
Wallis and Futuna,WLF,2021,11590
Western Sahara,ESH,2021,558625
World,OWID_WRL,2021,7954448405
Yemen,YEM,2021,37140233
Zambia,ZMB,2021,19603610
Zimbabwe,ZWE,2021,15797220