country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Moldova,2022,MDA,3272993.0,23827554304.0,0.599,0.183,5.422,-0.175,-3.125,0.311,-0.436,-58.367,0.095,0.013,,1.657,0.228,,0.318,0.097,,,,36.839,1348.974,1958.932,408.764,3.595,199.749,634.573,700.026,,,,0.0,0.0,1.514,0.462,,,-5.111,-1.562,,,,,2.992,0.914,,,,0.037,0.015,0.001,0.002,0.079,0.076,0.076,0.05,0.019,0.076,0.079,0.114,,0.0,0.02,-0.119,0.025,,0.059,0.0,0.001,0.001,0.0,,,,
Monaco,2022,MCO,36491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
Mongolia,2022,MNG,3398373.0,44809465856.0,0.574,0.169,37.894,-0.362,-0.947,39.76,-0.306,-0.764,11.7,0.887,,11.151,0.846,,32.195,9.474,,,,7.064,767.034,1816.993,636.418,0.114,0.0,2291.647,123.439,,,,0.0,0.0,0.0,0.0,,,1.866,0.549,,,,,5.126,1.508,,,,0.036,0.102,0.096,0.212,0.015,0.043,0.071,0.078,0.001,0.0,0.286,0.02,,0.0,0.0,0.043,0.043,,0.197,0.001,0.002,0.003,0.0,,,,
Montenegro,2022,MNE,627082.0,12774400000.0,,,2.292,-0.012,-0.532,-0.014,0.132,-90.558,-0.022,-0.001,,3.656,0.179,,1.411,2.25,,,,,109.318,238.784,76.965,0.035,0.0,230.39,32.317,,,,0.0,0.0,0.0,0.0,,,-2.306,-3.678,,,,,0.882,1.406,,,,,0.006,-0.0,0.009,,0.006,0.009,0.009,0.0,0.0,0.029,0.005,,0.0,0.0,-0.054,0.007,,0.009,0.0,0.0,0.0,0.0,,,,
Montserrat,2022,MSR,4413.0,,0.0,0.0,0.021,0.0,0.925,,,,,,,4.845,,,0.0,0.0,,,,0.0,1.633,,0.0,0.0,0.0,,1.633,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.021,4.845,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,
Morocco,2022,MAR,37457976.0,311654973440.0,5.11,0.136,68.412,-4.229,-5.822,61.195,-4.267,-6.519,1.634,0.196,0.229,1.826,0.22,0.256,25.355,0.677,,,,175.501,1878.64,3162.368,503.712,0.0,34.381,1733.867,1165.046,,7129.506,0.857,0.0,0.0,0.434,0.012,,,-7.216,-0.193,,,,,37.512,1.001,,,267.057,0.318,0.184,0.148,0.167,0.376,0.106,0.123,0.061,0.0,0.013,0.216,0.189,,0.0,0.006,-0.167,0.316,,0.174,0.001,0.001,0.003,0.0,,,,
Mozambique,2022,MOZ,32969520.0,31441725440.0,1.162,0.035,8.003,0.813,11.305,32.686,1.641,5.288,0.991,1.04,,0.243,0.255,,0.09,0.003,,,,17.565,191.735,4789.695,44.209,0.979,16.892,6325.698,112.09,,,,0.826,0.025,2.075,0.063,,,24.682,0.749,,,,,3.85,0.117,,,,0.072,0.022,0.079,0.001,0.038,0.011,0.186,0.005,0.005,0.006,0.789,0.018,,0.208,0.027,0.573,0.032,,0.194,0.001,0.002,0.003,0.0,,,,
Myanmar,2022,MMR,54179312.0,291025092608.0,2.557,0.047,34.922,-0.697,-1.957,131.303,0.05,0.038,2.423,0.451,,0.645,0.12,,4.407,0.081,,,,23.594,674.133,6577.35,59.991,6.504,176.525,14385.288,407.518,,,,0.025,0.0,8.077,0.149,,,96.381,1.779,,,,,19.857,0.367,,,,0.159,0.094,0.317,0.029,0.051,0.038,0.256,0.007,0.034,0.067,1.794,0.066,,0.006,0.104,2.236,0.167,,0.637,0.003,0.007,0.01,0.0,,,,
Namibia,2022,NAM,2567024.0,21858732032.0,0.504,0.196,3.953,0.221,5.911,9.428,0.749,8.624,3.673,0.431,,1.54,0.181,,0.117,0.046,,,,4.423,82.372,193.922,2.474,0.0,0.0,284.284,75.475,,,,0.0,0.0,0.0,0.0,,,5.475,2.133,,,,,3.331,1.298,,,,0.031,0.011,0.023,0.001,0.009,0.005,0.008,0.0,0.0,0.0,0.035,0.012,,0.0,0.0,0.127,0.028,,0.032,0.0,0.0,0.001,0.0,,,,
Nauru,2022,NRU,12691.0,,0.0,0.0,0.053,-0.001,-1.128,0.053,-0.001,-1.128,4.17,,,4.17,,,0.0,0.0,,,,0.0,4.958,4.958,0.0,0.0,0.0,0.0,4.958,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.053,4.17,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
Nepal,2022,NPL,30547586.0,95965913088.0,3.435,0.112,15.5,-0.128,-0.821,30.087,-0.602,-1.961,0.985,0.314,,0.507,0.162,,4.702,0.154,,,,31.608,193.869,1602.742,51.351,0.0,0.0,2298.999,110.91,,,,0.0,0.0,0.0,0.0,,,14.587,0.478,,,,,7.364,0.241,,,,0.214,0.042,0.073,0.031,0.068,0.011,0.062,0.006,0.0,0.0,0.287,0.018,,0.0,0.0,0.338,0.062,,0.131,0.001,0.001,0.002,0.0,,,,
Netherlands,2022,NLD,17564020.0,879609118720.0,0.005,0.0,125.358,-14.549,-10.399,125.693,-14.477,-10.328,7.156,0.143,0.132,7.137,0.143,0.131,22.481,1.28,,,,56.443,12020.52,13048.967,3888.563,31.273,3990.191,1042.166,4014.842,39.207,54383.41,1.086,1.121,0.064,50.418,2.871,,,0.334,0.019,,,,,50.178,2.857,0.066,1.155,955.191,0.0,0.337,0.303,0.148,0.121,0.678,0.508,0.475,0.161,1.524,0.13,0.652,0.392,0.282,0.651,0.008,0.422,0.384,0.463,0.001,0.006,0.008,0.001,,,,
New Caledonia,2022,NCL,289959.0,,0.026,0.089,5.115,0.578,12.75,,,,,,,17.641,,,2.762,9.527,,,,1.694,161.399,,60.186,0.0,0.0,,99.519,,,,0.0,0.0,0.0,0.0,,,,,,,,,2.327,8.025,,,,0.002,0.014,,0.018,0.004,0.009,,0.007,0.0,0.0,,0.016,,0.0,0.0,,0.02,,0.004,,0.0,0.0,,,,,
New Zealand,2022,NZL,5185289.0,200602763264.0,0.37,0.071,32.212,-2.106,-6.137,34.777,-2.116,-5.736,6.707,0.173,0.15,6.212,0.161,0.139,4.411,0.851,,,,34.197,1949.171,5313.007,637.119,30.344,338.069,3639.224,888.133,21.308,44782.684,1.158,0.705,0.136,6.354,1.225,,,2.565,0.495,,,,,19.855,3.829,0.1,0.517,232.211,0.023,0.087,0.084,0.029,0.073,0.11,0.207,0.078,0.157,0.129,0.454,0.144,0.213,0.177,0.082,0.06,0.167,0.172,0.31,0.002,0.003,0.005,0.001,,,,
Nicaragua,2022,NIC,6948395.0,32764782592.0,0.198,0.029,5.55,0.166,3.088,10.376,0.089,0.866,1.493,0.317,,0.799,0.169,,0.0,0.0,,,,8.795,187.437,3101.819,0.0,0.0,0.0,4322.983,178.642,,,,0.0,0.0,0.0,0.0,,,4.825,0.694,,,,,5.352,0.77,,,,0.012,0.015,0.025,0.0,0.019,0.011,0.121,0.0,0.0,0.0,0.539,0.029,,0.0,0.0,0.112,0.045,,0.133,0.0,0.002,0.002,0.0,,,,
Niger,2022,NER,26207982.0,24776755200.0,0.036,0.001,3.058,0.019,0.631,29.934,-0.027,-0.091,1.142,1.208,,0.117,0.123,,0.359,0.014,,,,0.79,55.303,1387.611,12.629,1.06,0.299,1800.247,40.525,,,,0.071,0.003,0.075,0.003,,,26.875,1.025,,,,,2.517,0.096,,,,0.002,0.008,0.072,0.002,0.002,0.003,0.054,0.002,0.005,0.0,0.224,0.007,,0.018,0.001,0.624,0.021,,0.103,0.001,0.001,0.002,0.0,,,,
Nigeria,2022,NGA,218541216.0,1134448607232.0,11.237,0.051,128.759,-2.354,-1.795,134.498,-4.837,-3.471,0.615,0.119,,0.589,0.113,,0.114,0.001,,,,155.99,4421.012,15123.421,70.706,1546.616,781.223,11664.15,1866.477,,,,9.999,0.046,36.051,0.165,,,5.738,0.026,,,,,71.359,0.327,,,,0.7,0.347,0.324,0.001,0.334,0.249,0.588,0.009,7.982,0.298,1.454,0.303,,2.516,0.465,0.133,0.601,,1.176,0.011,0.007,0.019,0.001,,,,
Niue,2022,NIU,1952.0,,0.0,0.0,0.008,-0.0,-1.138,0.008,-0.0,-1.138,3.873,,,3.873,,,0.0,0.0,,,,0.0,0.297,0.297,0.0,0.0,0.0,0.0,0.297,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.008,3.873,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
Non-OECD (GCP),2022,,,,,,24332.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2022,,600323657.0,,77.439,0.13,6279.689,78.37,1.264,6940.72,102.721,1.502,11.644,0.288,0.211,10.535,0.26,0.191,1013.483,1.7,,,,4225.857,490241.438,688492.5,187862.031,3681.28,94610.492,209505.125,198322.859,1538.91,55534.938,,91.612,0.154,2209.843,3.707,,,666.162,1.118,,,,,2860.342,4.798,0.045,26.971,33338.938,4.823,16.904,16.741,6.659,9.06,27.652,26.787,22.933,19.0,36.142,26.123,32.2,15.402,23.05,28.52,15.456,24.081,8.955,21.888,0.053,0.291,0.358,0.014,,,,
North America (GCP),2022,,,,,,6117.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America (excl. USA),2022,,,,36.021,0.14,1222.386,53.279,4.557,1741.667,63.477,3.782,6.756,0.377,0.271,4.741,0.265,0.19,78.785,0.306,,,,1388.5,63326.871,133699.109,11494.624,1231.725,14305.722,81456.125,34815.562,90.74,,,28.318,0.11,466.303,1.809,,,524.412,2.034,,,,,610.823,2.369,0.008,2.135,,2.244,3.29,4.201,0.518,2.977,3.572,5.202,1.403,6.357,5.465,10.157,5.653,0.908,7.125,6.018,12.167,5.143,0.709,4.615,0.018,0.054,0.075,0.004,,,,
North Korea,2022,PRK,26069416.0,40488849408.0,2.274,0.087,50.872,-0.465,-0.905,61.578,-0.507,-0.817,2.362,1.521,,1.951,1.256,,45.452,1.744,,,,155.737,5212.479,6588.936,4787.765,0.0,0.0,1528.855,268.976,,,,0.0,0.0,0.0,0.0,,,10.707,0.411,,,,,3.145,0.121,,,,0.142,0.137,0.149,0.299,0.334,0.294,0.256,0.584,0.0,0.0,0.191,0.044,,0.0,0.0,0.248,0.026,,0.239,0.001,0.003,0.004,0.0,,,,
North Macedonia,2022,MKD,2093606.0,28770254848.0,,,7.588,-0.1,-1.306,6.626,-0.128,-1.893,3.165,0.23,0.216,3.625,0.264,0.248,3.459,1.652,,,,,525.953,881.985,320.085,0.162,6.723,512.609,198.983,,14631.11,1.065,0.0,0.0,0.575,0.275,,,-0.962,-0.46,,,,,3.554,1.698,,,30.632,,0.02,0.016,0.023,,0.03,0.034,0.039,0.001,0.003,0.064,0.032,,0.0,0.007,-0.022,0.03,,0.026,0.0,0.0,0.0,0.0,,,,
Norway,2022,NOR,5434324.0,482328444928.0,0.732,0.135,40.808,-0.22,-0.536,48.844,0.182,0.373,8.988,0.101,0.092,7.509,0.085,0.077,3.675,0.676,,,,63.335,2710.467,4145.81,619.975,74.267,483.898,1436.357,1445.984,23.009,98027.531,1.104,0.788,0.145,12.908,2.375,,,8.036,1.479,,,,,22.138,4.074,0.104,0.567,532.713,0.046,0.11,0.118,0.024,0.136,0.153,0.161,0.076,0.383,0.185,0.179,0.235,0.23,0.198,0.167,0.186,0.186,0.188,0.172,0.001,0.002,0.003,0.0,,,,
OECD (GCP),2022,,,,,,11767.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD (Jones et al.),2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.866,0.094,0.524,0.652,0.033,,,,
Oceania,2022,,45038860.0,,3.334,0.074,441.078,3.98,0.911,448.463,-6.354,-1.397,10.017,0.29,0.237,9.852,0.286,0.233,151.278,3.379,,,,235.533,21732.5,40674.066,10976.413,343.223,2591.558,19555.109,7445.509,140.263,42035.414,,14.145,0.316,91.646,2.047,,,13.4,0.299,,,,,176.12,3.934,0.102,4.555,1893.227,0.208,1.187,1.082,0.994,0.505,1.226,1.582,1.34,1.771,0.99,2.438,1.209,1.404,3.559,1.183,0.311,1.483,1.512,1.925,0.009,0.018,0.031,0.004,,,,
Oceania (GCP),2022,,,,,,433.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,2022,OMN,4576300.0,177355014144.0,2.253,0.492,71.986,1.118,1.578,72.499,1.127,1.579,15.842,0.409,0.174,15.73,0.406,0.173,0.0,0.0,,,,41.605,1474.156,1479.54,0.0,187.572,909.851,-2.914,335.127,,91100.969,2.351,3.895,0.851,56.869,12.427,,,0.512,0.112,,,,,8.97,1.96,,,416.905,0.14,0.194,0.175,0.0,0.089,0.083,0.058,0.0,0.968,0.348,-0.0,0.054,,0.98,0.734,0.012,0.076,,0.131,0.001,0.001,0.002,0.0,,,,
Pakistan,2022,PAK,235824864.0,1318834929664.0,16.917,0.072,200.2,-23.25,-10.405,222.755,-22.909,-9.325,0.945,0.169,0.223,0.849,0.152,0.2,54.854,0.233,,,,337.015,5455.111,7618.697,846.037,29.338,1982.39,2998.065,2260.332,,4234.945,0.757,0.452,0.002,61.974,0.263,,,22.555,0.096,,,,,66.003,0.28,,,998.705,1.054,0.539,0.537,0.36,0.723,0.308,0.296,0.103,0.151,0.757,0.374,0.367,,0.114,0.8,0.523,0.556,,0.762,0.008,0.003,0.012,0.001,,,,
Palau,2022,PLW,18084.0,,0.0,0.0,0.219,-0.002,-1.127,0.219,-0.002,-1.127,12.124,,,12.124,,,0.0,0.0,,,,0.0,10.997,10.997,0.0,0.0,0.0,0.0,10.997,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.219,12.124,,,,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,,0.0,0.0,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,,,,
Palestine,2022,PSE,5250076.0,24076503040.0,0.0,0.0,3.497,0.069,2.019,3.725,0.086,2.368,0.71,0.155,,0.666,0.145,,0.0,0.0,,,,0.0,67.08,66.267,0.0,0.011,0.0,1.383,67.069,,,,0.0,0.0,0.0,0.0,,,0.228,0.044,,,,,3.497,0.666,,,,0.0,0.009,0.009,0.0,0.0,0.004,0.003,0.0,0.0,0.0,0.0,0.011,,0.0,0.0,0.005,0.029,,0.0,,0.0,0.0,,,,,
Panama,2022,PAN,4408582.0,94762123264.0,0.318,0.072,11.9,0.192,1.643,16.627,0.102,0.615,3.772,0.175,,2.699,0.126,,2.134,0.484,,,,19.507,333.321,1728.097,18.239,0.0,5.675,2359.025,289.9,,,,0.0,0.0,1.605,0.364,,,4.727,1.072,,,,,7.843,1.779,,,,0.02,0.032,0.04,0.014,0.042,0.019,0.067,0.002,0.0,0.002,0.294,0.047,,0.0,0.021,0.11,0.066,,0.071,0.0,0.001,0.001,0.0,,,,
Panama Canal Zone,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
Papua New Guinea,2022,PNG,10142625.0,,0.0,0.0,7.823,-0.123,-1.549,30.379,-0.523,-1.691,2.995,,,0.771,,,0.0,0.0,,,,0.0,195.097,1884.804,0.051,6.285,17.128,1689.708,171.633,,,,0.16,0.016,1.793,0.177,,,22.556,2.224,,,,,5.871,0.579,,,,0.0,0.021,0.073,0.0,0.0,0.011,0.073,0.0,0.032,0.007,0.211,0.028,,0.04,0.023,0.523,0.049,,0.068,0.0,0.001,0.001,0.0,,,,
Paraguay,2022,PRY,6780745.0,65127632896.0,0.296,0.044,9.018,-0.246,-2.659,30.454,-1.701,-5.29,4.491,0.468,,1.33,0.138,,0.004,0.001,,,,9.77,195.363,4244.535,0.051,0.0,0.0,4884.837,185.541,,,,0.0,0.0,0.0,0.0,,,21.436,3.161,,,,,8.718,1.286,,,,0.018,0.024,0.073,0.0,0.021,0.011,0.165,0.0,0.0,0.0,0.609,0.03,,0.0,0.0,0.497,0.073,,0.202,0.001,0.002,0.003,0.0,,,,
Peru,2022,PER,34049588.0,341677637632.0,5.527,0.162,60.921,4.451,7.882,40.699,1.943,5.014,1.195,0.119,0.12,1.789,0.178,0.18,2.814,0.083,,,,122.672,2006.052,7139.066,121.902,26.714,269.139,5494.171,1465.625,,9925.625,0.989,0.148,0.004,17.732,0.521,,,-20.222,-0.594,,,,,34.701,1.019,,,337.963,0.344,0.164,0.098,0.018,0.263,0.113,0.278,0.015,0.138,0.103,0.685,0.238,,0.037,0.229,-0.469,0.292,,0.32,0.002,0.003,0.005,0.0,,,,
Philippines,2022,PHL,115559008.0,1014811000832.0,10.335,0.089,150.396,7.642,5.353,174.096,6.611,3.947,1.507,0.172,0.305,1.301,0.148,0.263,80.46,0.696,,,,256.117,3680.39,14546.189,973.541,3.302,141.723,14387.74,2305.708,,4941.15,0.563,0.135,0.001,6.031,0.052,,,23.7,0.205,,,,,53.434,0.462,,,570.994,0.644,0.405,0.42,0.529,0.549,0.208,0.566,0.119,0.017,0.054,1.794,0.374,,0.034,0.078,0.55,0.45,,0.685,0.004,0.007,0.011,0.0,,,,
Poland,2022,POL,39857144.0,1231021277184.0,7.793,0.196,323.117,-7.96,-2.404,287.777,-6.125,-2.084,7.22,0.234,0.242,8.107,0.262,0.272,175.398,4.401,,,,430.916,28503.613,27609.506,23377.955,119.294,1257.793,-833.948,3163.162,154.493,29778.053,0.964,4.283,0.107,32.822,0.824,,,-35.34,-0.887,,,,,97.258,2.44,0.14,5.562,1186.868,0.485,0.87,0.694,1.152,0.924,1.608,1.074,2.854,0.616,0.48,-0.104,0.514,1.546,1.078,0.424,-0.82,0.819,1.847,0.994,0.003,0.012,0.016,0.001,,,,
Portugal,2022,PRT,10270857.0,295712915456.0,2.106,0.205,41.605,1.667,4.173,34.63,1.513,4.569,3.372,0.117,0.132,4.051,0.141,0.158,1.038,0.101,,,,163.663,2694.574,3064.481,652.156,19.726,234.034,432.585,1598.99,26.005,25574.793,0.888,0.945,0.092,10.714,1.043,,,-6.975,-0.679,,,,,25.983,2.53,0.08,0.82,262.675,0.131,0.112,0.084,0.007,0.351,0.152,0.119,0.08,0.102,0.089,0.054,0.26,0.26,0.238,0.138,-0.162,0.219,0.272,0.117,0.0,0.001,0.002,0.0,,,,
Qatar,2022,QAT,2695131.0,381778100224.0,1.537,0.57,101.34,-5.878,-5.482,101.328,-5.879,-5.484,37.597,0.265,0.179,37.601,0.265,0.179,0.0,0.0,,,,35.797,2310.033,2310.92,0.0,211.881,1716.719,1.069,345.636,,210256.281,1.484,1.856,0.689,82.446,30.591,,,-0.012,-0.004,,,,,15.501,5.751,,,566.668,0.096,0.273,0.244,0.0,0.077,0.13,0.09,0.0,1.094,0.656,0.0,0.056,,0.467,1.064,-0.0,0.131,,0.242,0.003,0.001,0.004,0.0,,,,
Romania,2022,ROU,19659270.0,504741658624.0,3.723,0.189,73.521,-3.669,-4.754,53.124,-4.832,-8.337,2.702,0.105,0.148,3.74,0.146,0.204,15.558,0.791,,,,262.235,8733.446,11775.873,2606.852,32.612,2958.303,3239.441,2835.804,37.639,18318.545,0.713,0.753,0.038,20.684,1.052,,,-20.397,-1.038,,,,,31.792,1.617,0.051,1.01,360.129,0.232,0.198,0.128,0.102,0.562,0.493,0.458,0.318,0.168,1.13,0.404,0.46,0.377,0.189,0.267,-0.473,0.268,0.335,0.361,0.001,0.004,0.006,0.0,,,,
Russia,2022,RUS,144713312.0,3731440795648.0,22.48,0.155,1652.177,-59.816,-3.494,1965.207,-44.296,-2.204,13.58,0.527,0.228,11.417,0.443,0.191,355.407,2.456,,,,1681.877,119290.812,226066.875,45986.422,1548.154,35887.473,110505.562,33613.078,573.813,59650.238,2.313,60.216,0.416,811.361,5.607,,,313.029,2.163,,,,,385.883,2.667,0.116,16.832,8632.184,1.4,4.447,4.74,2.335,3.606,6.729,8.795,5.614,7.99,13.709,13.779,5.457,5.743,15.15,10.471,7.263,3.249,5.588,6.429,0.02,0.081,0.105,0.004,,,,
Rwanda,2022,RWA,13776702.0,28466253824.0,0.222,0.016,1.548,-0.006,-0.366,2.198,-0.107,-4.657,0.16,0.077,,0.112,0.054,,0.013,0.001,,,,1.999,32.63,427.458,0.095,0.022,0.755,633.15,29.759,,,,0.0,0.0,0.11,0.008,,,0.65,0.047,,,,,1.203,0.087,,,,0.014,0.004,0.005,0.0,0.004,0.002,0.017,0.0,0.0,0.0,0.079,0.005,,0.0,0.001,0.015,0.01,,0.034,0.0,0.0,0.001,0.0,,,,
Ryukyu Islands,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.0,0.0,,,,,
Saint Helena,2022,SHN,5401.0,,0.0,0.0,0.018,0.0,0.918,,,,,,,3.299,,,0.0,0.0,,,,0.0,0.428,,0.0,0.0,0.0,,0.428,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.018,3.299,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
Saint Kitts and Nevis,2022,KNA,47681.0,,0.0,0.0,0.224,0.002,0.922,0.164,0.004,2.665,3.432,,,4.708,,,0.0,0.0,,,,0.0,6.819,3.199,0.0,0.0,0.0,-1.671,6.819,,,,0.0,0.0,0.0,0.0,,,-0.061,-1.276,,,,,0.224,4.708,,,,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.001,,0.0,0.0,-0.001,0.002,,0.0,0.0,0.0,0.0,0.0,,,,
Saint Lucia,2022,LCA,179872.0,1749086208.0,0.0,0.0,0.47,0.004,0.922,0.374,0.008,2.083,2.078,0.214,,2.615,0.269,,0.0,0.0,,,,0.0,15.34,15.433,0.0,0.0,0.0,1.562,15.34,,,,0.0,0.0,0.0,0.0,,,-0.097,-0.537,,,,,0.47,2.615,,,,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.002,,0.0,0.0,-0.002,0.004,,0.001,0.0,0.0,0.0,0.0,,,,
Saint Pierre and Miquelon,2022,SPM,5885.0,,,,0.061,0.001,0.923,,,,,,,10.293,,,0.0,0.0,,,,,3.818,,0.495,0.0,0.0,,3.322,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.061,10.293,,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.001,,0.0,0.0,,0.001,,0.0,,0.0,0.0,,,,,
Saint Vincent and the Grenadines,2022,VCT,103959.0,,0.0,0.0,0.239,0.002,0.922,0.196,0.001,0.498,1.885,,,2.296,,,0.0,0.0,,,,0.0,7.47,10.137,0.0,0.0,0.0,3.066,7.47,,,,0.0,0.0,0.0,0.0,,,-0.043,-0.411,,,,,0.239,2.296,,,,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,-0.001,0.002,,0.0,0.0,0.0,0.0,0.0,,,,
Samoa,2022,WSM,222390.0,,0.0,0.0,0.249,-0.003,-1.127,0.09,0.005,6.475,0.405,,,1.122,,,0.0,0.0,,,,0.0,7.306,9.531,0.0,0.0,0.0,9.769,7.306,,,,0.0,0.0,0.0,0.0,,,-0.159,-0.717,,,,,0.249,1.122,,,,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,,0.0,0.0,-0.004,0.002,,0.002,0.0,0.0,0.0,0.0,,,,
San Marino,2022,SMR,33690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.134,,,,,,,,,,,-0.015,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,-0.0,,,,,,,,,,,
Sao Tome and Principe,2022,STP,227393.0,825238400.0,0.0,0.0,0.132,-0.013,-9.232,0.113,-0.01,-8.239,0.499,0.138,,0.582,0.16,,0.0,0.0,,,,0.0,3.737,9.943,0.0,0.0,0.0,12.688,3.737,,,,0.0,0.0,0.0,0.0,,,-0.019,-0.082,,,,,0.132,0.582,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,,0.0,0.0,-0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
Saudi Arabia,2022,SAU,36408824.0,1823886278656.0,29.997,0.824,662.549,31.112,4.927,666.512,31.221,4.914,18.306,0.365,,18.197,0.363,,0.432,0.012,,,,590.299,17595.887,17798.082,3.21,1061.458,5305.909,168.169,10635.013,,,,3.496,0.096,277.737,7.628,,,3.962,0.109,,,,,350.887,9.637,,,,1.868,1.783,1.608,0.003,1.266,0.993,0.692,0.0,5.478,2.027,0.021,1.727,,0.88,3.584,0.092,2.954,,0.788,0.005,0.008,0.013,0.0,,,,
Senegal,2022,SEN,17316452.0,51913994240.0,2.896,0.167,11.668,0.128,1.111,10.475,0.602,6.099,0.605,0.202,,0.674,0.225,,1.348,0.078,,,,44.716,270.902,659.795,20.814,0.011,1.12,798.104,204.24,,,,0.0,0.0,0.026,0.002,,,-1.194,-0.069,,,,,7.398,0.427,,,,0.18,0.031,0.025,0.009,0.096,0.015,0.026,0.003,0.0,0.0,0.1,0.033,,0.0,0.0,-0.028,0.062,,0.058,0.0,0.0,0.001,0.0,,,,
