country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Serbia,2022,SRB,7221365.0,116834639872.0,1.084,0.15,43.507,-0.399,-0.909,31.396,-0.176,-0.558,4.348,0.269,,6.025,0.372,,28.927,4.006,,,,73.598,2895.876,3598.404,2143.465,1.061,202.791,1479.203,474.961,,,,0.001,0.0,5.01,0.694,,,-12.11,-1.677,,,,,8.486,1.175,,,,0.067,0.117,0.076,0.19,0.158,0.163,0.14,0.262,0.005,0.077,0.184,0.077,,0.0,0.065,-0.281,0.071,,0.125,0.0,0.001,0.002,0.0,,,,
Seychelles,2022,SYC,107135.0,3053368064.0,0.0,0.0,0.659,-0.004,-0.571,0.659,-0.004,-0.571,6.15,0.216,,6.15,0.216,,0.0,0.0,,,,0.0,14.926,14.926,0.0,0.0,0.0,0.0,14.926,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.659,6.15,,,,0.0,0.002,0.002,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.002,,0.0,0.0,0.0,0.006,,0.001,0.0,0.0,0.0,0.0,,,,
Sierra Leone,2022,SLE,8605723.0,11681270784.0,0.0,0.0,1.129,0.02,1.775,8.644,-0.52,-5.679,1.004,0.74,,0.131,0.097,,0.0,0.0,,,,0.0,38.809,2846.598,0.864,0.0,0.0,2807.789,37.945,,,,0.0,0.0,0.0,0.0,,,7.514,0.873,,,,,1.129,0.131,,,,0.0,0.003,0.021,0.0,0.0,0.002,0.111,0.0,0.0,0.0,0.35,0.006,,0.0,0.0,0.174,0.01,,0.057,0.0,0.001,0.001,0.0,,,,
Singapore,2022,SGP,5975689.0,461801127936.0,0.0,0.0,53.252,-2.578,-4.618,53.453,-2.571,-4.588,8.945,0.116,0.061,8.912,0.115,0.06,1.865,0.312,,,,0.0,2190.389,2211.608,26.096,0.0,370.975,21.219,1793.318,,147572.328,1.91,0.0,0.0,21.392,3.58,,,0.201,0.034,,,,,29.995,5.02,,,881.846,0.0,0.143,0.129,0.012,0.0,0.124,0.086,0.003,0.0,0.142,0.003,0.291,,0.0,0.276,0.005,0.253,,0.08,0.0,0.001,0.001,0.0,,,,
Sint Maarten (Dutch part),2022,SXM,44192.0,,0.0,0.0,0.634,0.006,0.922,,,,,,,14.352,,,0.0,0.0,,,,0.0,66.929,,0.0,0.0,0.0,,66.929,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.634,14.352,,,,0.0,0.002,,0.0,0.0,0.004,,0.0,0.0,0.0,,0.011,,0.0,0.0,,0.005,,0.002,,0.0,0.0,,,,,
Slovakia,2022,SVK,5643455.0,150360424448.0,1.453,0.257,34.152,-1.015,-2.887,31.651,-1.253,-3.807,5.608,0.211,0.176,6.052,0.227,0.19,11.166,1.979,,,,90.713,3968.448,4409.615,2683.407,0.744,517.08,491.716,643.09,33.415,31876.369,1.196,0.014,0.003,10.399,1.843,,,-2.501,-0.443,,,,,10.231,1.813,0.157,0.888,179.893,0.09,0.092,0.076,0.073,0.194,0.224,0.172,0.328,0.004,0.198,0.061,0.104,0.334,0.004,0.134,-0.058,0.086,0.295,0.133,0.0,0.002,0.002,0.0,,,,
Slovenia,2022,SVN,2119843.0,69385347072.0,0.469,0.221,12.715,-0.345,-2.643,14.077,-0.687,-4.654,6.64,0.203,0.199,5.998,0.183,0.18,2.993,1.412,,,,28.707,886.81,1170.497,383.333,4.717,71.56,376.719,393.763,4.73,33305.18,1.018,0.113,0.053,1.845,0.87,,,1.362,0.642,,,,,7.177,3.386,0.056,0.119,70.602,0.029,0.034,0.034,0.02,0.062,0.05,0.046,0.047,0.024,0.027,0.047,0.064,0.047,0.028,0.024,0.032,0.06,0.039,0.041,0.0,0.0,0.001,0.0,,,,
Solomon Islands,2022,SLB,724272.0,,0.0,0.0,0.299,-0.003,-1.127,4.783,-0.124,-2.517,6.604,,,0.412,,,0.0,0.0,,,,0.0,11.021,178.076,0.0,0.0,0.0,186.447,11.021,,,,0.0,0.0,0.0,0.0,,,4.484,6.192,,,,,0.299,0.412,,,,0.0,0.001,0.012,0.0,0.0,0.001,0.007,0.0,0.0,0.0,0.023,0.002,,0.0,0.0,0.104,0.003,,0.004,0.0,0.0,0.0,0.0,,,,
Somalia,2022,SOM,17597508.0,,,,0.647,-0.004,-0.571,22.227,1.138,5.398,1.263,,,0.037,,,0.0,0.0,,,,,34.03,990.833,0.0,0.0,0.0,1114.498,33.925,,,,0.0,0.0,0.0,0.0,,,21.58,1.226,,,,,0.647,0.037,,,,,0.002,0.054,0.0,,0.002,0.039,0.0,0.0,0.0,0.139,0.006,,0.0,0.0,0.501,0.005,,0.094,0.001,0.0,0.002,0.0,,,,
South Africa,2022,ZAF,59893884.0,723559317504.0,5.282,0.088,404.054,-21.574,-5.069,405.18,-20.746,-4.871,6.765,0.56,0.299,6.746,0.558,0.299,338.135,5.646,,,,259.886,21859.98,28807.268,18862.076,4.164,211.911,7329.295,2521.947,,22594.381,1.87,0.038,0.001,11.021,0.184,,,1.126,0.019,,,,,49.578,0.828,,,1353.265,0.329,1.088,0.977,2.222,0.557,1.233,1.121,2.303,0.021,0.081,0.914,0.409,,0.01,0.142,0.026,0.417,,1.04,0.004,0.012,0.017,0.001,,,,
South America,2022,,436816679.0,,46.879,0.107,1085.392,-0.514,-0.047,2312.667,-61.459,-2.589,5.298,0.378,0.326,2.487,0.178,0.153,95.369,0.218,,,,1689.836,45060.84,218482.766,4976.318,2155.169,8304.478,191638.453,27759.01,176.029,17016.16,,39.319,0.09,249.427,0.571,,,1227.275,2.812,,,,,648.007,1.485,0.015,6.392,7432.943,2.92,2.922,5.578,0.627,3.623,2.542,8.5,0.607,11.123,3.172,23.895,4.507,1.762,9.893,3.219,28.475,5.456,2.122,9.161,0.046,0.097,0.15,0.007,,,,
South America (GCP),2022,,,,,,1085.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,2022,KOR,51815808.0,2137558614016.0,23.409,0.452,600.999,-15.076,-2.447,594.387,-15.246,-2.501,11.471,0.278,0.168,11.599,0.281,0.17,268.032,5.173,,,,982.958,19528.814,19514.629,8625.464,0.012,2209.363,44.141,7488.37,222.646,68364.156,1.657,0.006,0.0,125.663,2.425,,,-6.612,-0.128,,,,,173.707,3.352,0.197,10.183,3542.344,1.458,1.618,1.434,1.761,2.107,1.102,0.759,1.053,0.0,0.844,0.006,1.216,2.228,0.002,1.622,-0.153,1.462,3.381,0.676,0.002,0.009,0.011,0.0,,,,
South Sudan,2022,SSD,10913172.0,,0.0,0.0,1.834,-0.011,-0.571,13.347,-1.698,-11.289,1.223,,,0.168,,,0.0,0.0,,,,0.0,43.324,1471.414,0.109,0.0,0.0,1977.782,43.216,,,,0.0,0.0,0.0,0.0,,,11.514,1.055,,,,,1.834,0.168,,,,0.0,0.005,0.032,0.0,0.0,0.002,0.057,0.0,0.0,0.0,0.247,0.007,,0.0,0.0,0.267,0.015,,0.16,0.001,0.001,0.003,0.001,,,,
Spain,2022,ESP,47558632.0,1625139970048.0,8.072,0.17,245.614,15.344,6.664,225.618,15.309,7.279,4.744,0.139,0.142,5.164,0.151,0.154,22.851,0.48,,,,712.95,15299.339,17449.807,4882.646,87.118,1719.799,2152.712,7781.184,115.644,33454.09,0.979,3.511,0.074,65.619,1.38,,,-19.995,-0.42,,,,,142.661,3.0,0.061,2.9,1591.031,0.503,0.661,0.544,0.15,1.529,0.863,0.679,0.596,0.45,0.657,0.268,1.263,1.157,0.883,0.847,-0.464,1.201,0.963,0.607,0.002,0.007,0.01,0.001,,,,
Sri Lanka,2022,LKA,21832150.0,254748606464.0,1.504,0.069,17.327,-2.792,-13.875,21.698,-3.176,-12.769,0.994,0.085,0.222,0.794,0.068,0.178,6.08,0.278,,,,27.223,533.97,2121.389,69.654,0.0,0.0,2786.651,437.094,,4469.398,0.383,0.0,0.0,0.0,0.0,,,4.371,0.2,,,,,9.743,0.446,,,97.577,0.094,0.047,0.052,0.04,0.058,0.03,0.083,0.009,0.0,0.0,0.347,0.071,,0.0,0.0,0.101,0.082,,0.098,0.001,0.001,0.002,0.0,,,,
St. Kitts-Nevis-Anguilla,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
Sudan,2022,SDN,46874200.0,,1.556,0.033,22.013,-0.172,-0.774,32.0,-1.815,-5.366,0.683,,,0.47,,,0.0,0.0,,,,22.856,500.817,2827.898,1.286,12.935,0.0,2743.221,463.74,,,,0.399,0.009,0.0,0.0,,,9.987,0.213,,,,,20.059,0.428,,,,0.097,0.059,0.077,0.0,0.049,0.028,0.11,0.0,0.067,0.0,0.342,0.075,,0.1,0.0,0.232,0.169,,0.283,0.003,0.002,0.005,0.001,,,,
Suriname,2022,SUR,618046.0,,0.02,0.032,3.587,-0.096,-2.609,5.363,-0.096,-1.755,8.677,,,5.803,,,0.0,0.0,,,,1.332,124.659,257.516,1.378,0.004,0.193,171.184,121.752,,,,0.004,0.007,0.016,0.026,,,1.776,2.874,,,,,3.547,5.739,,,,0.001,0.01,0.013,0.0,0.003,0.007,0.01,0.0,0.0,0.0,0.021,0.02,,0.001,0.0,0.041,0.03,,0.01,0.0,0.0,0.0,0.0,,,,
Sweden,2022,SWE,10549349.0,494214545408.0,1.259,0.119,38.051,-0.474,-1.231,43.668,-0.406,-0.921,4.139,0.088,0.07,3.607,0.077,0.061,6.992,0.663,,,,113.067,5063.768,8483.882,1516.286,17.031,72.325,3421.093,3324.858,20.2,58931.953,1.258,0.009,0.001,1.423,0.135,,,5.618,0.533,,,,,27.848,2.64,0.049,0.519,621.694,0.078,0.102,0.105,0.046,0.242,0.286,0.33,0.185,0.088,0.028,0.427,0.54,0.202,0.002,0.018,0.13,0.234,0.172,0.239,0.001,0.003,0.004,0.0,,,,
Switzerland,2022,CHE,8740471.0,559384952832.0,1.732,0.198,35.38,-0.407,-1.138,34.955,-0.344,-0.974,3.999,0.062,0.12,4.048,0.063,0.122,0.421,0.048,,,,139.958,3095.767,3345.79,592.429,1.26,237.341,279.567,2117.594,7.185,33191.535,0.519,0.02,0.002,6.133,0.702,,,-0.425,-0.049,,,,,26.903,3.078,0.02,0.171,290.11,0.108,0.095,0.084,0.003,0.3,0.175,0.13,0.072,0.007,0.091,0.035,0.344,0.072,0.005,0.079,-0.01,0.226,0.057,0.11,0.0,0.001,0.002,0.0,,,,
Syria,2022,SYR,22125242.0,52353138688.0,0.873,0.039,27.635,0.418,1.537,27.038,0.458,1.721,1.222,0.516,,1.249,0.528,,0.007,0.0,,,,75.369,1949.006,2408.234,0.638,129.031,303.434,529.272,1440.535,,,,2.003,0.091,5.954,0.269,,,-0.597,-0.027,,,,,18.798,0.85,,,,0.054,0.074,0.065,0.0,0.162,0.11,0.094,0.0,0.666,0.116,0.066,0.234,,0.504,0.077,-0.014,0.158,,0.116,0.001,0.001,0.002,0.0,,,,
Taiwan,2022,TWN,23893396.0,1247874383872.0,5.485,0.23,277.901,-13.3,-4.567,,,,,,,11.631,0.223,0.211,152.399,6.378,,,,409.374,9613.967,,4770.394,0.0,911.538,,3478.462,44.199,55197.621,1.057,0.0,0.0,59.507,2.491,,,,,,,,,59.679,2.498,0.035,0.831,1318.859,0.342,0.748,,1.001,0.878,0.542,,0.582,0.0,0.348,,0.565,0.442,0.0,0.768,,0.502,0.276,0.318,0.001,0.004,0.005,0.0,,,,
Tajikistan,2022,TJK,9952789.0,50544009216.0,1.955,0.196,10.017,0.037,0.371,9.687,0.045,0.472,0.973,0.192,,1.006,0.198,,3.802,0.382,,,,22.751,493.389,609.564,127.903,2.091,84.764,119.49,255.88,,,,0.0,0.0,0.38,0.038,,,-0.33,-0.033,,,,,3.88,0.39,,,,0.122,0.027,0.023,0.025,0.049,0.028,0.024,0.016,0.011,0.032,0.015,0.042,,0.0,0.005,-0.008,0.033,,0.041,0.0,0.0,0.001,0.0,,,,
Tanzania,2022,TZA,65497752.0,198220414976.0,2.519,0.038,15.57,0.153,0.991,45.735,-4.913,-9.7,0.698,0.231,,0.238,0.079,,2.137,0.033,,,,31.74,276.598,7669.413,17.03,0.009,27.603,9994.751,200.216,,,,0.0,0.0,2.079,0.032,,,30.165,0.461,,,,,8.835,0.135,,,,0.157,0.042,0.11,0.014,0.068,0.016,0.298,0.002,0.0,0.011,1.246,0.033,,0.0,0.027,0.7,0.074,,0.427,0.002,0.004,0.007,0.001,,,,
Thailand,2022,THA,71697024.0,1124143726592.0,21.151,0.295,270.746,3.527,1.32,307.98,1.43,0.467,4.296,0.274,0.222,3.776,0.241,0.195,69.761,0.973,,,,646.961,7772.627,23694.391,1743.369,13.687,1857.932,20213.436,3510.678,,19357.754,1.235,0.409,0.006,75.611,1.055,,,37.233,0.519,,,,,103.815,1.448,,,1387.893,1.317,0.729,0.743,0.458,1.387,0.438,0.922,0.213,0.071,0.71,2.52,0.57,,0.103,0.976,0.864,0.874,,0.884,0.005,0.009,0.014,0.001,,,,
Togo,2022,TGO,8848700.0,14265659392.0,0.92,0.104,2.576,0.02,0.771,2.348,-0.092,-3.775,0.265,0.165,,0.291,0.181,,0.0,0.0,,,,21.953,71.219,512.355,0.0,0.0,1.153,967.942,48.113,,,,0.0,0.0,0.187,0.021,,,-0.227,-0.026,,,,,1.468,0.166,,,,0.057,0.007,0.006,0.0,0.047,0.004,0.02,0.0,0.0,0.0,0.121,0.008,,0.0,0.002,-0.005,0.012,,0.029,0.0,0.0,0.0,0.0,,,,
Tonga,2022,TON,106867.0,,0.0,0.0,0.189,-0.002,-1.127,0.198,-0.004,-1.761,1.852,,,1.769,,,0.0,0.0,,,,0.0,4.788,7.29,0.0,0.0,0.0,3.408,4.788,,,,0.0,0.0,0.0,0.0,,,0.009,0.083,,,,,0.189,1.769,,,,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.002,,0.001,0.0,0.0,0.0,0.0,,,,
Trinidad and Tobago,2022,TTO,1531043.0,37513383936.0,0.282,0.184,34.332,-1.201,-3.379,34.105,-1.183,-3.352,22.276,0.909,0.197,22.424,0.915,0.198,0.0,0.0,,,,13.3,1637.354,1623.645,0.231,106.976,1083.964,70.999,432.883,,113031.766,4.613,0.299,0.195,30.401,19.857,,,-0.227,-0.148,,,,,3.349,2.188,,,173.056,0.018,0.092,0.082,0.0,0.029,0.092,0.063,0.0,0.552,0.414,0.009,0.07,,0.075,0.392,-0.005,0.028,,0.097,0.001,0.001,0.002,0.0,,,,
Tunisia,2022,TUN,12356116.0,129457963008.0,4.245,0.344,35.577,0.332,0.943,33.809,0.24,0.715,2.736,0.261,,2.879,0.275,,0.0,0.0,,,,132.696,996.671,1467.839,14.601,18.783,288.533,569.851,542.058,,,,0.525,0.042,15.996,1.295,,,-1.768,-0.143,,,,,14.812,1.199,,,,0.264,0.096,0.082,0.0,0.284,0.056,0.057,0.002,0.097,0.11,0.071,0.088,,0.132,0.206,-0.041,0.125,,0.075,0.0,0.001,0.001,0.0,,,,
Turkey,2022,TUR,85341248.0,2385996414976.0,38.253,0.448,435.685,-17.018,-3.759,402.311,-16.152,-3.86,4.714,0.169,0.204,5.105,0.183,0.221,167.182,1.959,,,,950.764,11786.776,17690.869,4806.602,5.805,1881.356,6127.254,3993.823,148.425,23108.615,0.827,0.21,0.002,98.9,1.159,,,-33.374,-0.391,,,,,124.751,1.462,0.075,6.389,1972.118,2.383,1.173,0.97,1.098,2.038,0.665,0.688,0.587,0.03,0.719,0.764,0.648,1.485,0.053,1.276,-0.774,1.05,2.121,0.652,0.003,0.006,0.011,0.001,,,,
Turkmenistan,2022,TKM,6430777.0,97502945280.0,0.801,0.125,70.958,0.984,1.406,70.747,1.004,1.44,11.001,0.726,0.156,11.034,0.728,0.157,0.0,0.0,,,,36.574,2517.083,2690.19,62.036,77.913,1326.393,176.31,1014.167,,70412.789,4.644,2.011,0.313,46.991,7.307,,,-0.211,-0.033,,,,,21.155,3.29,,,452.809,0.05,0.191,0.171,0.0,0.078,0.142,0.105,0.008,0.402,0.507,0.022,0.165,,0.506,0.606,-0.005,0.178,,0.229,0.002,0.002,0.004,0.0,,,,
Turks and Caicos Islands,2022,TCA,45726.0,,0.0,0.0,0.349,0.003,0.922,,,,,,,7.637,,,0.0,0.0,,,,0.0,6.84,,0.0,0.0,0.0,,6.84,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.349,7.637,,,,0.0,0.001,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.001,,0.0,0.0,,0.003,,0.0,0.0,0.0,0.0,0.0,,,,
Tuvalu,2022,TUV,11335.0,,0.0,0.0,0.011,-0.0,-1.133,0.011,-0.0,-1.133,1.0,,,1.0,,,0.0,0.0,,,,0.0,0.301,0.301,0.0,0.0,0.0,0.0,0.301,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.011,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
Uganda,2022,UGA,47249588.0,101995421696.0,0.628,0.013,6.022,-0.031,-0.512,9.318,-0.426,-4.371,0.197,0.091,,0.127,0.059,,0.0,0.0,,,,9.035,118.371,2463.44,0.0,0.0,0.0,3325.354,109.336,,,,0.0,0.0,0.0,0.0,,,3.296,0.07,,,,,5.394,0.114,,,,0.039,0.016,0.022,0.0,0.019,0.007,0.096,0.0,0.0,0.0,0.415,0.018,,0.0,0.0,0.076,0.045,,0.178,0.001,0.001,0.003,0.0,,,,
Ukraine,2022,UKR,39701744.0,309166669824.0,4.339,0.109,141.253,-68.9,-32.786,145.142,-69.187,-32.281,3.656,0.469,0.225,3.558,0.457,0.219,56.817,1.431,,,,405.28,30961.504,44379.809,17138.24,173.089,6349.307,13790.019,6777.875,117.713,16272.95,2.09,2.253,0.057,42.131,1.061,,,3.889,0.098,,,,,32.836,0.827,0.072,2.877,646.065,0.27,0.38,0.35,0.373,0.869,1.746,1.727,2.092,0.893,2.425,1.719,1.1,1.178,0.567,0.544,0.09,0.276,0.955,1.373,0.003,0.018,0.022,0.001,,,,
United Arab Emirates,2022,ARE,9441138.0,779701518336.0,5.239,0.555,243.895,6.646,2.801,243.892,6.617,2.789,25.833,0.313,0.18,25.833,0.313,0.18,8.985,0.952,,,,152.71,5469.927,5471.421,91.092,430.229,3166.183,1.099,1629.713,,143594.344,1.739,1.743,0.185,142.576,15.102,,,-0.003,-0.0,,,,,85.353,9.04,,,1355.694,0.326,0.657,0.588,0.059,0.327,0.309,0.213,0.011,2.22,1.21,0.0,0.265,,0.439,1.84,-0.0,0.719,,0.271,0.002,0.002,0.004,0.0,,,,
United Kingdom,2022,GBR,67508936.0,2615230595072.0,4.073,0.06,318.654,-28.811,-8.292,334.585,-28.302,-7.799,4.956,0.128,0.166,4.72,0.122,0.158,19.581,0.29,,,,527.935,78834.703,78481.664,56877.539,293.749,7320.931,3237.034,13696.697,117.853,29904.859,0.772,3.237,0.048,136.709,2.025,,,15.931,0.236,,,,,152.507,2.259,0.038,2.548,2018.845,0.254,0.858,0.807,0.129,1.132,4.447,3.053,6.943,1.516,2.797,0.404,2.224,1.179,0.814,1.764,0.37,1.284,0.846,2.436,0.003,0.035,0.04,0.002,,,,
United States,2022,USA,338289856.0,19493170446336.0,41.418,0.122,5057.304,25.091,0.499,5199.053,39.244,0.761,15.369,0.267,0.196,14.95,0.259,0.191,934.698,2.763,,,,2837.357,426914.531,554793.375,176367.406,2449.554,80304.766,128048.992,163507.312,1448.17,78347.914,1.36,63.294,0.187,1743.539,5.154,,,141.749,0.419,,,,,2249.519,6.65,0.073,24.837,26504.305,2.58,13.613,12.54,6.142,6.083,24.08,21.585,21.53,12.643,30.677,15.966,26.547,14.494,15.925,22.502,3.289,18.939,8.246,17.272,0.035,0.237,0.282,0.011,,,,
Upper-middle-income countries,2022,,2555055874.0,,985.987,0.349,17616.729,165.843,0.95,21536.541,239.907,1.127,7.612,0.433,0.293,6.227,0.354,0.24,10017.983,3.541,,,,24254.502,553307.875,1045854.25,294739.969,6906.161,72062.039,542977.438,149193.156,6152.021,28782.396,,182.89,0.065,2573.584,0.91,,,3927.828,1.388,,,,,3648.083,1.289,0.074,208.202,73540.633,61.414,47.421,51.946,65.824,52.0,31.21,40.69,35.98,35.644,27.528,67.703,24.223,61.571,46.016,33.214,91.134,30.713,69.124,39.377,0.181,0.435,0.644,0.028,,,,
Uruguay,2022,URY,3422796.0,69066227712.0,0.355,0.104,7.893,-0.209,-2.581,10.95,-0.71,-6.089,3.199,0.159,,2.306,0.114,,0.004,0.001,,,,21.166,387.785,589.619,4.093,0.0,3.004,599.588,359.522,,,,0.0,0.0,0.135,0.039,,,3.057,0.893,,,,,7.4,2.162,,,,0.022,0.021,0.026,0.0,0.045,0.022,0.023,0.0,0.0,0.001,0.075,0.058,,0.0,0.002,0.071,0.062,,0.143,0.001,0.001,0.002,0.0,,,,
Uzbekistan,2022,UZB,34627648.0,393572450304.0,6.157,0.178,120.61,4.222,3.628,119.593,4.336,3.762,3.454,0.304,0.203,3.483,0.306,0.205,11.512,0.332,,,,181.384,6483.168,6886.979,569.427,115.489,3956.179,415.626,1660.688,,17004.094,1.496,0.823,0.024,87.822,2.536,,,-1.017,-0.029,,,,,14.296,0.413,,,588.812,0.383,0.325,0.288,0.076,0.389,0.366,0.268,0.07,0.596,1.511,0.052,0.27,,0.207,1.133,-0.024,0.12,,0.396,0.003,0.003,0.006,0.0,,,,
Vanuatu,2022,VUT,326744.0,,0.0,0.0,0.208,-0.002,-1.128,-0.747,0.004,-0.499,-2.287,,,0.636,,,0.0,0.0,,,,0.0,5.233,91.263,0.155,0.0,0.0,169.272,5.078,,,,0.0,0.0,0.0,0.0,,,-0.955,-2.923,,,,,0.208,0.636,,,,0.0,0.001,-0.002,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.021,0.001,,0.0,0.0,-0.022,0.002,,0.005,0.0,0.0,0.0,0.0,,,,
Vatican,2022,VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,-0.0,,,,,,,,,,,
Venezuela,2022,VEN,28301700.0,149682061312.0,0.986,0.035,76.892,5.279,7.371,84.029,4.852,6.128,2.969,0.561,0.129,2.717,0.514,0.118,0.172,0.006,,,,149.568,7642.842,12564.338,38.28,1200.836,2354.267,6699.188,3899.891,,22976.66,4.344,16.19,0.572,34.615,1.223,,,7.137,0.252,,,,,24.929,0.881,,,650.279,0.061,0.207,0.203,0.001,0.321,0.431,0.489,0.005,6.198,0.899,0.835,0.633,,4.074,0.447,0.166,0.21,,0.629,0.004,0.006,0.01,0.0,,,,
Vietnam,2022,VNM,98186856.0,833803845632.0,58.552,0.596,343.607,-8.946,-2.538,595.342,-10.133,-1.673,6.063,0.714,0.479,3.5,0.412,0.276,201.102,2.048,,,,697.919,5023.284,14490.81,2494.256,38.913,325.196,10991.265,1467.0,,12670.408,1.492,1.11,0.011,14.815,0.151,,,251.735,2.564,,,,,68.028,0.693,,,1244.068,3.647,0.925,1.436,1.321,1.496,0.283,0.564,0.304,0.201,0.124,1.37,0.238,,0.279,0.191,5.841,0.573,,0.691,0.005,0.006,0.011,0.0,,,,
Wallis and Futuna,2022,WLF,11596.0,,0.0,0.0,0.026,-0.0,-1.128,,,,,,,2.282,,,0.0,0.0,,,,0.0,0.797,,0.0,0.0,0.0,,0.797,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.026,2.282,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,
World,2022,,7975105024.0,130112561348608.0,1605.474,0.201,37149.785,333.242,0.905,41459.738,321.614,0.782,5.199,0.319,0.246,4.658,0.286,0.22,15219.304,1.908,37149.785,4.658,0.286,46643.25,1772867.5,2570295.0,819172.75,19375.447,261774.234,802000.125,615910.062,9991.812,21154.355,1.297,397.452,0.05,7748.47,0.972,,,4309.951,0.54,,,,,11877.886,1.489,0.038,301.199,168708.203,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.417,1.136,1.635,0.083,,,0.0,0.0
Yemen,2022,YEM,33696612.0,60852994048.0,0.629,0.019,11.356,-0.232,-1.998,9.319,-0.407,-4.187,0.277,0.153,,0.337,0.187,,0.572,0.017,,,,23.563,687.573,707.822,5.837,44.511,14.019,-39.668,599.642,,,,1.368,0.041,0.266,0.008,,,-2.037,-0.06,,,,,8.523,0.253,,,,0.039,0.031,0.022,0.004,0.051,0.039,0.028,0.001,0.23,0.005,-0.005,0.097,,0.344,0.003,-0.047,0.072,,0.071,0.001,0.0,0.001,0.0,,,,
Zambia,2022,ZMB,20017670.0,68469604352.0,1.059,0.053,8.922,0.259,2.987,69.994,-2.009,-2.79,3.497,1.022,,0.446,0.13,,3.009,0.15,,,,18.428,268.459,5058.892,123.455,0.0,0.0,8154.827,126.576,,,,0.0,0.0,0.0,0.0,,,61.072,3.051,,,,,4.854,0.242,,,,0.066,0.024,0.169,0.02,0.04,0.015,0.197,0.015,0.0,0.0,1.017,0.021,,0.0,0.0,1.417,0.041,,0.215,0.001,0.002,0.004,0.0,,,,
Zimbabwe,2022,ZWE,16320539.0,25901586432.0,0.531,0.033,8.856,0.46,5.477,15.58,0.067,0.432,0.955,0.602,,0.543,0.342,,5.027,0.308,,,,21.067,798.694,3042.71,623.777,0.0,0.0,2299.374,153.851,,,,0.0,0.0,0.0,0.0,,,6.724,0.412,,,,,3.298,0.202,,,,0.033,0.024,0.038,0.033,0.045,0.045,0.118,0.076,0.0,0.0,0.287,0.025,,0.0,0.0,0.156,0.028,,0.11,0.001,0.001,0.002,0.0,,,,
